2	1	0	1.171317
2	1	1	1.171317
2	1	2	1.171317
2	1	3	1.171317
2	1	4	1.171317
2	1	5	1.171317
2	1	6	1.171317
2	1	7	1.171317
2	1	8	1.171317
2	1	9	1.171317
2	1	10	1.171317
2	2	0	-2.076975
2	2	1	-4.076975
2	2	2	-6.076975
2	2	3	-8.076975
2	2	4	-10.076975
2	2	5	-12.076975
2	2	6	-14.076975
2	2	7	-16.076975
2	2	8	-18.076975
2	2	9	-20.076975
2	2	10	-22.076975
2	3	0	-1.996552
2	3	1	-3.996552
2	3	2	-5.996552
2	3	3	-7.996552
2	3	4	-9.996552
2	3	5	-11.996552
2	3	6	-13.996552
2	3	7	-15.996552
2	3	8	-17.996552
2	3	9	-19.996552
2	3	10	-21.996552
2	4	0	-2.871593
2	4	1	-5.871593
2	4	2	-9.871593
2	4	3	-13.871593
2	4	4	-17.871593
2	4	5	-21.871593
2	4	6	-25.871593
2	4	7	-29.871593
2	4	8	-33.871593
2	4	9	-37.871593
2	4	10	-41.871593
2	5	0	-2.840817
2	5	1	-5.840817
2	5	2	-9.840816
2	5	3	-13.840816
2	5	4	-17.840816
2	5	5	-21.840816
2	5	6	-25.840816
2	5	7	-29.840816
2	5	8	-33.840816
2	5	9	-37.840816
2	5	10	-41.840816
2	6	0	-2.322909
2	6	1	-6.890364
2	6	2	-12.305402
2	6	3	-18.305401
2	6	4	-24.305401
2	6	5	-30.305401
2	6	6	-36.305401
2	6	7	-42.305401
2	6	8	-48.305401
2	6	9	-54.305401
2	6	10	-60.305401
4	1	0	-0.173877
4	1	1	-1.076558
4	1	2	-2.076558
4	1	3	-3.076558
4	1	4	-4.076558
4	1	5	-5.076558
4	1	6	-6.076558
4	1	7	-7.076558
4	1	8	-8.076558
4	1	9	-9.076558
4	1	10	-10.076558
4	2	0	-0.900163
4	2	1	-1.900163
4	2	2	-3.747156
4	2	3	-5.747156
4	2	4	-7.747156
4	2	5	-9.747156
4	2	6	-11.747156
4	2	7	-13.747156
4	2	8	-15.747156
4	2	9	-17.747156
4	2	10	-19.747156
4	3	0	-0.683883
4	3	1	-2.577828
4	3	2	-4.824914
4	3	3	-7.824914
4	3	4	-10.824915
4	3	5	-13.824915
4	3	6	-16.824915
4	3	7	-19.824915
4	3	8	-22.824915
4	3	9	-25.824915
4	3	10	-28.824915
4	4	0	-0.645931
4	4	1	-2.658163
4	4	2	-5.658163
4	4	3	-9.483873
4	4	4	-13.483873
4	4	5	-17.483873
4	4	6	-21.483873
4	4	7	-25.483873
4	4	8	-29.483873
4	4	9	-33.483871
4	4	10	-37.483871
4	5	0	-0.651087
4	5	1	-2.415025
4	5	2	-6.318283
4	5	3	-10.818763
4	5	4	-15.818763
4	5	5	-20.818764
4	5	6	-25.818764
4	5	7	-30.818764
4	5	8	-35.818764
4	5	9	-40.818764
4	5	10	-45.818764
4	6	0	-0.651535
4	6	1	-2.360167
4	6	2	-6.653783
4	6	3	-11.889283
4	6	4	-17.889284
4	6	5	-23.889284
4	6	6	-29.889284
4	6	7	-35.889282
4	6	8	-41.889282
4	6	9	-47.889282
4	6	10	-53.889282
8	1	0	-0.052200
8	1	1	-0.518685
8	1	2	-1.518685
8	1	3	-2.518685
8	1	4	-3.518685
8	1	5	-4.518685
8	1	6	-5.518685
8	1	7	-6.518685
8	1	8	-7.518685
8	1	9	-8.518684
8	1	10	-9.518684
8	2	0	-0.001047
8	2	1	-0.728752
8	2	2	-2.174850
8	2	3	-4.174850
8	2	4	-6.174850
8	2	5	-8.174850
8	2	6	-10.174850
8	2	7	-12.174850
